timestamp,open,high,low,close,volume,turnover
2024-01-08 00:00:00,43936.2,43997.7,43630.2,43641.9,4709.897,206293669.9727
2024-01-08 01:00:00,43641.9,43819.8,43610.8,43716.0,2339.577,102313934.0445
2024-01-08 02:00:00,43716.0,43805.0,43136.9,43363.0,8632.148,375115222.2589
2024-01-08 03:00:00,43363.0,43572.6,43213.1,43527.7,5559.21,241286539.4523
2024-01-08 04:00:00,43527.7,43625.0,43446.5,43611.9,2586.941,112648421.0559
2024-01-08 05:00:00,43611.9,43669.6,43486.0,43654.0,2549.473,111129673.3933
2024-01-08 06:00:00,43654.0,44444.0,43605.6,43920.3,15992.787,704139389.9728
2024-01-08 07:00:00,43920.3,44088.0,43789.4,43979.0,3928.632,172617401.5349
2024-01-08 08:00:00,43979.0,44079.9,43853.1,43870.0,2137.348,93989883.5805
2024-01-08 09:00:00,43870.0,43924.6,43640.1,43731.6,3067.786,134335574.7076
2024-01-08 10:00:00,43731.6,44148.0,43698.9,44100.0,4495.324,197630979.3274
2024-01-08 11:00:00,44100.0,44749.3,43906.1,44653.9,14930.271,661526511.6238
2024-01-08 12:00:00,44653.9,45211.1,44296.1,45118.0,29919.653,1341776121.9539
2024-01-08 13:00:00,45118.0,45183.5,44820.2,44925.9,10487.396,472008575.638
2024-01-08 14:00:00,44925.9,45112.9,44672.1,44798.7,6227.585,279801553.1286
2024-01-08 15:00:00,44798.7,45413.0,44465.0,44975.3,15066.649,677621676.2259
2024-01-08 16:00:00,44975.3,45170.0,44791.0,44943.1,6835.379,307453688.2891
2024-01-08 17:00:00,44943.1,45683.0,44900.0,45648.0,12733.765,577542152.498
2024-01-08 18:00:00,45648.0,47033.0,45648.0,46981.2,37747.778,1749623250.5205
2024-01-08 19:00:00,46981.2,47318.3,46550.0,47005.9,17799.604,835803824.5957
2024-01-08 20:00:00,47005.9,47180.0,46726.3,46799.9,7547.419,354396306.531
2024-01-08 21:00:00,46799.9,47238.3,46666.6,47082.0,6678.924,313994415.8718
2024-01-08 22:00:00,47082.0,47134.6,46822.3,47015.4,3456.915,162324573.3149
2024-01-08 23:00:00,47015.4,47125.9,46844.2,46972.8,3191.971,149955366.8388
