timestamp,open,high,low,close,volume,turnover
2024-01-01 00:00:00,42324.8,42610.9,42300.2,42517.4,3038.207,129022621.2567
2024-01-01 01:00:00,42517.4,42842.9,42475.1,42661.3,3308.231,141296220.3691
2024-01-01 02:00:00,42661.3,42691.9,42550.8,42631.8,1651.447,70384296.4473
2024-01-01 03:00:00,42631.8,42641.4,42271.5,42384.1,3499.277,148488084.347
2024-01-01 04:00:00,42384.1,42448.0,42250.5,42446.3,1800.157,76253111.4863
2024-01-01 05:00:00,42446.3,42450.0,42211.2,42280.9,1749.233,74039208.443
2024-01-01 06:00:00,42280.9,42467.8,42248.5,42431.7,1117.49,47356241.4482
2024-01-01 07:00:00,42431.7,42533.0,42431.6,42531.7,1373.99,58396205.205
2024-01-01 08:00:00,42531.7,42599.6,42492.7,42596.1,1274.532,54228928.2511
2024-01-01 09:00:00,42596.1,42739.8,42574.1,42696.9,2249.746,95997895.499
2024-01-01 10:00:00,42696.9,42796.1,42656.9,42731.4,2127.375,90888986.4814
2024-01-01 11:00:00,42731.4,42809.6,42645.6,42735.1,1903.864,81346593.1397
2024-01-01 12:00:00,42735.1,42820.0,42657.1,42690.6,2067.997,88409418.4198
2024-01-01 13:00:00,42690.6,42787.5,42651.1,42760.3,1117.358,47739190.7195
2024-01-01 14:00:00,42760.3,42760.3,42605.4,42651.0,1814.759,77427380.815
2024-01-01 15:00:00,42651.0,42890.0,42617.6,42825.1,2622.198,112181028.926
2024-01-01 16:00:00,42825.1,42909.1,42707.1,42774.3,1950.463,83510478.5986
2024-01-01 17:00:00,42774.3,42868.0,42750.0,42852.4,1114.03,47686461.3384
2024-01-01 18:00:00,42852.4,43279.0,42852.3,43153.8,7712.586,332495893.6479
2024-01-01 19:00:00,43153.8,43604.0,43140.7,43570.1,6668.097,289415040.1985
2024-01-01 20:00:00,43570.1,43909.5,43566.6,43753.4,9272.61,405617567.9288
2024-01-01 21:00:00,43753.4,43855.1,43528.5,43677.7,3978.033,173775943.2765
2024-01-01 22:00:00,43677.7,43726.4,43421.8,43579.6,3014.063,131252975.8913
2024-01-01 23:00:00,43579.6,44284.9,43579.5,44235.5,12697.696,558822825.0947
